,text,label,timestamp
19488,"Wuhan ’ s health commission has confirmed that seven of the 59 patients are very ill , but none of them have died .
All 59 patients have been quarantined .
The commission has also said that it has traced around 163 people who had close contact with the patients and will continue tracing other contacts .
The Wuhan outbreak is believed to have begun some time between December 12 and December 29 .
Some of those infected worked at the same seafood market , which has since been shut down for decontamination .
Symptoms patients have experienced include fever @ @ @ @ @ @ @ those infected show invasive lesions on their lungs .
Ho Pak Leung , director of the University of Hong Kong ’ s Center for Infection , noted this week that there has not yet been any evidence of human-to-human transmission of the virus .
However , he said that if the virus does end up being transmitted through humans , it would be difficult to prevent virus carriers from visiting Hong Kong due to the high volume of people constantly traveling between the city and the mainland .
According to David Hui Shu @ @ @ @ @ @ @ Medicine and Therapeutics at the Chinese University of Hong Kong , it might take a few weeks for health officials to determine the DNA sequence of the virus , Asia Times reported .
According to the US Centers for Disease Control and Prevention ( CDC ) , SARS is a viral respiratory illness caused by a coronavirus , which is a type of virus that affects the respiratory tract of mammals .
SARS was first reported in Asia back in 2003 .
It spread to 37 countries in North America , South America @ @ @ @ @ @ @ than 8,000 people and killing 774 in 2003 , the same year that the virus was contained .",0,1-2020
15639,"As the annual Consumer Electronics Show in Las Vegas continued Tuesday , there was no shortage of news and gadgets we didn ’ t know we needed .
There was the mildly silly smart litter box that lets you inspect your cat ’ s poops .
There ’ s the OnePlus concept phone with a disappearing camera .
There was the impossibly tiny new Intel PC , the NUC 9 Extreme , aka Ghost Canyon , that promises an upgradable desktop at a fraction of the size , and a new desktop gaming PC from Razer , the Tomahawk , @ @ @ @ @ @ @ as well Impossible Meat unveiled its new “ pork ” product which my colleague and longtime vegetarian Elizabeth Lopatto concludes is meant for people who need the bridge between real meat and its analogue , not for hardcore vegetarians and vegans .
We ’ ve started to see other socially-conscious devices as well , including a face mask meant to filter out air pollution .
As my colleague Nicole Wetsman writes , however : Ao Air ’ s Atmos Faceware is positioning itself as a tech-driven solution to increasing levels of air pollution @ @ @ @ @ @ @ and figuratively burning .
But the $ 350 gadget , which just debuted at CES , may be beyond the price range of people who are most vulnerable to the very problem its seeking to address .
We ’ re in Vegas through the end of CES on January 10th .
Here ’ s more of what the staff at The Verge has seen so far at CES 2020 .",1,1-2020
52492,"Tonight 's winning National Lottery numbers have been revealed - and the draw means you could be winning BIG .
Camelot , the operator of the National Lottery , conducted the Lotto and Thunderball draws this evening .
Birmingham residents looking for a life-changing sum of money can also play the EuroMillions , with draws twice a week taking place on Tuesday evenings and Friday nights .
The main UK Lotto draw will take place at 8pm .
There will also be the Thunderball draw at 8.15pm where could win £500,000 .
To play , you simply select five numbers @ @ @ @ @ @ @ Lucky Star numbers from 1-12 .
If you really can ’ t choose and you ’ re finding the pressure too much , you can always select a Lucky Dip and let the machine choose a random selection for you .
Lotto draws take place on Wednesday and Saturday evenings from approximately 8.30pm .
Ticket sales for both Tuesday and Friday EuroMillions draws close at 7.30pm on the evening of the draw .
If you ’ ve missed out , you can buy your ticket for the next draw almost straight away - @ @ @ @ @",1,1-2020
75679,"Netflix has treated fans to a sneaky look at the second series of Sex Education ahead of its release later this week .
The wildly successful first season of the high school comedy followed the misadventures of awkward teen Otis ( played by Asa Butterfield ) whose mother Jean ( Gillian Anderson ) is a sex therapist .
Inspired by his mum ’ s work , Otis sets up a sex clinic in his school with his friend Maeve ( Emma Mackey ) .
By the end of series one , he ’ d decided to pack things up - @ @ @ @ @ @ @ back in business .
This time around , he has a new girlfriend , which could make things awkward with his former crush Maeve .
Meanwhile the school has been hit with an outbreak of chlamydia and the headteacher has recruited Jean to start officially teaching sex education .
In yet another cringe-worthy twist , it turns out that Jakob , the father of Otis ’ girlfriend Ola , has his eye on the therapist too .
The trailer also hints at a new romance for Eric ( Ncuti Gatwa ) who appears @ @ @ @ @ @ @ a visiting student .
Sex Education also stars Kedar Williams-Stirling as Jackson , Connor Swindells as Adam , Aimee Lou Wood as Aimee and Tanya Reynolds as Lily .
The second series has been directed by Ben Taylor , Alice Seabright and Sophie Goodhart , with Jamie Campbell , Ben Taylor and writer and creator Laurie Nunn also serving as executive producers .
Sex Education series two is available to stream on Netflix from Friday , January 17 .",1,1-2020
92445,"The number of people killed by a measles epidemic in the Democratic Republic of Congo has passed 6,000 , the World Health Organization ( WHO ) has said .
The WHO says the epidemic is the world 's largest and fastest moving .
Around 310,000 suspected measles cases have been reported since the start of 2019 , the WHO says .
The Congolese government and the WHO launched an emergency vaccination programme last September .
More than 18 million children under five were vaccinated across the country in 2019 , the WHO says .
But poor infrastructure , attacks on @ @ @ @ @ @ @ to routine healthcare have all hindered efforts to stop the spread of the disease .
Every one of the country 's 26 provinces has reported cases of measles since the outbreak was declared in June last year .
DR Congo is also experiencing the second most deadly outbreak of Ebola the world has ever seen but this has killed less than half as many people as measles in the country .
`` We are doing our utmost to bring this epidemic under control , '' said Dr Matshidiso Moeti , WHO Regional Director @ @ @ @ @ @ @ truly successful we must ensure that no child faces the unnecessary risk of death from a disease that is easily preventable by a vaccine .
We urge our donor partners to urgently step up their assistance . ''
The WHO says an extra $ 40m ( £30m ) is required to extend the vaccination to children between six and 14 years and strengthen outbreak response .
Measles is a virus that initially causes a runny nose , sneezing and fever .
A few days later it leads to a blotchy rash that starts @ @ @ @ @ @ @ the body .
Most people will recover , but measles can cause life-long disability .
It can be deadly , especially if it causes pneumonia in the lungs or encephalitis ( swelling in the brain ) .
It is estimated that a global total of 110,000 people die from measles each year .
You may also be interested in :",1,1-2020
44142,"SEOUL , South Korea ( AP ) — South Korea has put a 36-year-old Chinese woman under isolated treatment amid concerns that she brought back a form of viral pneumonia that has sickened dozens in mainland China and Hong Kong in recent weeks .
The Korea Centers of Disease Control and Prevention said Wednesday that the woman , who was diagnosed with pneumonia on Tuesday following two business trips to China last month , represented the country ’ s first possible case of the respiratory illness whose cause remains unknown .
The unidentified woman , who works for a South @ @ @ @ @ @ @ experienced cough and fever since returning from a five-day trip to the Chinese city of Xiamen on Dec. 30 , the KCDC said in a press release .
She had also visited Wuhan , the mainland Chinese city where the outbreak originated , for five days in mid-December .
She told South Korean doctors she made no contact with animals while she was there and didn ’ t visit a seafood market in Wuhan ’ s suburbs where most of the cases have been traced to .
The KCDC said the woman was @ @ @ @ @ @ @ at a hospital south of Seoul to confirm whether she has the same illness as the Wuhan patients .
South Korean officials have tightened monitoring of people entering from China and advised travelers to avoid contact with animals and take extra care in personal hygiene .
The disease — an unidentified form of viral pneumonia — has sent 59 people to the hospital in Wuhan in central Hubei province .
As of Sunday , seven were in critical condition , while the rest were stable .
In Hong Kong , a total of @ @ @ @ @ @ @ symptoms including fever and respiratory infection after recent visits to Wuhan .
It is not clear whether they have the same illness as the Wuhan patients .",1,1-2020
43230,"BEIJING -- Soaring pork prices that nearly doubled in December over a year ago kept inflation at a seven-year high despite government efforts to ease meat shortages caused by a disease outbreak , official data showed Thursday .
Surging inflation adds to challenges for communist leaders who are trying to shore up slowing economic growth and resolve a tariff war with Washington .
The price of pork rose 97 % over a year earlier despite increased imports of China 's staple meat and the release of thousands of tons from government stockpiles .
Food prices rose 17.4 % and overall @ @ @ @ @ @ @ above the ruling Communist Party 's official target of 3 % .
That matched November 's inflation , the highest since 2012 .
China produces and consumes two-thirds of the world 's pork but supplies plunged as authorities destroyed pigs and blocked shipments to contain an outbreak of African swine fever that was confirmed in August 2018 .
Farmers have allowed herds to dwindle .
Global pork prices have climbed as Chinese importers buy more from Canada , Europe and other suppliers .
Beijing announced in September it would lift punitive tariffs imposed @ @ @ @ @ @ @ trade war with Washington .
That would ease pressure on Chinese pig farmers who use soy as animal feed .
The U.S. Department of Agriculture forecast in October that China 's 2020 pork production would fall 25 % from a year earlier .
The forecast gap of 12 million metric tons would be equivalent to almost the entire U.S. annual production .
Authorities destroyed 390,000 pigs last year and a total of 1.2 million since the start of the outbreak , the Agriculture Ministry reported Wednesday .
Forecasters expect shortages to persist because @ @ @ @ @ @ @ and others will need time to rebuild their herds .",1,1-2020
54410,"President Donald Trump appeared to claim credit today for a record drop in cancer death rates that occurred the year @ @ @ @ @ say lower smoking rates , earlier detection and better drugs are responsible for a steady @ @ @ @ @ 1991 .
The president , who unsuccessfully advocated cutting $ 4.5 billion from the NIH @ @ @ @ @ that U.S. cancer death rates are the lowest in recorded history , adding there is @ @ @ @ @ news coming out of this Administration.
” The U.S. cancer death rate dropped 2.2 percent @ @ @ @ @ , a record decline that was part of a 29 percent overall drop in the @ @ @ @ @ , the American Cancer Society reported Wednesday .
That translates to about 3 million fewer @ @ @ @ @ three decades .",1,1-2020
92446,"Scientists believe they may have found the cause of the mystery pneumonia that has infected almost 60 people in the Chinese city of Wuhan since December .
Preliminary tests indicated the illness may be caused by a new coronavirus , lead scientist Xu Jianguo told the official Xinhua news agency .
The World Health Organisation ( WHO ) had also said a coronavirus could be to blame for the outbreak .
So far , 59 cases have been reported , seven of which are considered critical .
Mr Xu , who is leading efforts to identify the cause , said @ @ @ @ @ @ @ '' of coronavirus by testing infected blood samples and throat swabs collected from 15 people .
• The people who risked their lives to stop the virus The coronavirus can cause anything from the common cold to much more severe diseases .
Notably , it caused an epidemic of the potentially deadly , flu-like Sars virus back in 2002-3 , which killed more than 700 people around the world after originating in China .
However , Gauden Galea , the WHO representative to China , said `` further investigations '' were required to @ @ @ @ @ @ @ transmission , extent of infection and countermeasures implemented '' .
Singapore 's airport says it will begin temperature screening travellers from Wuhan and Hong Kong health officials say they are also implementing checks on passengers .
Authorities in Hong Kong have also stepped up the disinfection of trains and aeroplanes , AFP news agency reports .
Fears the virus could be spread were further stoked by the fact it struck just before China 's peak travel season , when hundreds of millions of people are set to travel for Chinese New Year later @ @ @ @ @ @ @ unclear how the illness is transmitted , with health officials saying no cases of human-to-human transmission had been confirmed as yet .",1,1-2020
19489,"Such a conclusion was made by a team of experts after a series of tests , the official China Central @ @ @ @ @ in Wuhan confirmed on Sunday that the city had been dealing with 59 cases of @ @ @ @ @ December 31 , 2019 , with seven in critical condition .
All of the affected @ @ @ @ @ being quarantined , the local health commission in Wuhan said in a statement .
None @ @ @ @ @ , the statement added .
The infected individuals reportedly display symptoms typical of pneumonia and @ @ @ @ @ It prompted fears on the Internet that the nation might be experiencing a return of @ @ @ @ @ Syndrome ( SARS ) coronavirus , an epidemic that had claimed more than 600 lives @ @ @ @ @",0,1-2020
58531,"A teacher is facing felony charges in Orange County after police say he molested a 15-year-old student who was taking his welding class at Santa Ana College in 2015 .
George Moreno , 59 , of Cherry Valley was arrested Tuesday at Alessandro High School in Hemet , where he currently works as a welding instructor .
He ’ s charged with four felony counts of lewd acts on a child based on allegations from a student who was in his class five years ago at Santa Ana College , according to the Orange County district attorney ’ s office @ @ @ @ @ @ @ at Santa Ana College from 2007 to 2018 .
After leaving the school , he was hired as a teacher by the Riverside County Office of Education in February .
During his time at Santa Ana College , authorities say , some of the students enrolled in his class were teens from Santa Ana Middle College High School .
Authorities did not begin investigating Moreno until last year , when a woman reported to Santa Ana police that the instructor had molested her when she was 15 .
The woman reported several incidents @ @ @ @ @ @ @ a three-year period , prosecutors said .
The Riverside County Office of Education placed Moreno on administrative leave in the wake of the allegations and said in a statement that their students ’ safety and well-being are a top priority .
“ Both the Riverside County Office of Education and the [ Hemet Unified ] School District are fully cooperating with law enforcement and take all allegations of staff misconduct very seriously , ” the office said in a statement .
Moreno was released from Orange County Jail on Wednesday after posting $ @ @ @ @ @ @ @ faces a maximum sentence of five years behind bars , prosecutors said .
Authorities are asking anyone with additional information to call Santa Ana Police Det .
Gerry Corona at ( 714 ) 245-8343 or Orange County Crime Stoppers at ( 855 ) 847-6227 .",1,1-2020
41235,"Jan. 10 -- HIV infection causes a loss of immunity to smallpox , even in people who were vaccinated as kids and are taking antiretroviral drugs to restore their immune system , a new study finds .
Such `` HIV-associated immune amnesia '' could explain why people with HIV who are on antiretroviral therapy still have shorter lives on average than people without HIV , according to the researchers .
The new study included 100 HIV-positive and HIV-negative women who were vaccinated against smallpox in their youth .
Their blood was exposed to the vaccinia virus , which is used @ @ @ @ @ @ @ to assess T-cell and antibody responses .
Smallpox was chosen because the last known U.S. case was in 1949 , so participants could n't have had recent exposure to the virus , which would have triggered new immune responses .
Normally , a person vaccinated against smallpox has CD4 T-cells that remember the virus and respond in large numbers when the person is exposed to it again .
But the immune systems of HIV-positive women on antiretroviral therapy had a limited response to the vaccinia virus .
Antiretroviral therapy works by boosting CD4 @ @ @ @ @ @ @ These findings suggest that while antiretroviral therapy may increase total T-cell counts , it ca n't recover virus-specific T-cells created by childhood vaccinations , said study leader Mark Slifka .
He 's a professor of molecular microbiology and immunology at Oregon Health and Science University School of Medicine , in Portland .
The study was recently published in the Journal of Infectious Diseases .
The researchers now plan to evaluate whether the loss of smallpox immunity also occurs in HIV-infected men , and if people with HIV also lose immune memory to other @ @ @ @ @ @ @ the immune systems of children who contracted measles similarly `` forgot '' their immunity against other illnesses , such as the flu .
The U.S. Centers for Disease Control and Prevention has more on HIV .",1,1-2020
75680,"Bournemouth University was placed on lockdown after a man 's fitness vest was mistaken for a suicide vest .
Dorset Police were called at around 2.30pm on Friday regarding a `` security alert relating to a man seen in the area of the Boundary roundabout near Bournemouth University '' .
Staff and students were reportedly not allowed to leave the building as Talbot Campus was put on lockdown .
Police said : `` An initial report suggested the man could be wearing something that resembled a suicide vest .
`` As a precaution , the university was placed on lockdown @ @ @ @ @ @ @ out .
`` Officers attended the scene and undertook an investigation , including a review of CCTV footage , and it was established that it was believed to be someone running in a fitness vest . ''
The university later tweeted to say Talbot Campus reopened just after 4pm and Dorset Police said it does not believe there is any further cause for concern .
Bournemouth University has been approached for further details .
University buses were temporarily suspended and a police helicopter was dispatched to the scene .
Students kept inside university @ @ @ @ @ @ @ police incident .
One wrote : `` Fusion building is on lock down not allowing any students to leave . ''
`` Bournemouth uni is on lockdown & there 's police and a helicopter I 'm trapped in the library , '' another wrote .",1,1-2020
94220,"YOSEMITE NATIONAL PARK , Calif. - Federal health officials are inspecting Yosemite National Park ’ s food service areas after at least a dozen people have fallen ill with stomach issues .
The National Park Service and the U.S. Public Health Service told the San Francisco Chronicle they launched an investigation after employees and visitors reported the problems this month .
Federal officials said they haven ’ t identified the illness or the origin of the outbreak .
Park officials said those who had gotten sick are getting better or already recovered .
Federal officials were working with Aramark , @ @ @ @ @ @ @ restaurants , snack shops and hotels , to clean up and disinfect food service facilities in the park , including the famous Ahwahnee Hotel , Yosemite spokesman Scott Gediman said .
“ The park is reminding all employees and visitors to wash their hands frequently and stay home if they experience any symptoms of a gastrointestinal illness , ” Gediman said in a statement .
A message seeking comment from a spokesman for Aramark has not been returned .
Get more of the Star in your inbox Never miss the latest news from @ @ @ @ @ @ @ newsletters to get today 's top stories , your favourite columnists and lots more in your inbox Sign Up Now",1,1-2020
72378,"UPDATE : Officials report there is no longer an active shooter threat and that the base is open with limited @ @ @ @ @ Force Base is on lockdown after reports of an active shooter early this morning .
@ @ @ @ @ FL officials have not confirmed the status of the alleged shooter or any casualties at @ @ @ @ @ is still developing .
Updates will be published .
This piece originally appeared in LifeZette @ @ @ @ @ .
Read more at LifeZette : Epstein Case Takes Chilling Turn As Footage Outside His @ @ @ @ @ Erased Iranian Butcher Qaseem Soleimani Again Brings Death to His Own People President Trump to @ @ @ @ @",0,1-2020
58532,"An explosion rocked a portion of a Corona wastewater treatment facility Friday but no injuries or chemical releases were reported @ @ @ @ @ a news release .
The blast occurred at 3:52 p.m. in the “ biosolids drying @ @ @ @ @ Facility No .
1 , at 2205 Railroad St. , the release said .
The @ @ @ @ @ under investigation by the Corona Fire Department and the Department of Water and Power .
@ @ @ @ @ was not disclosed , but the plant continued to operate Friday .
Reclaimed water from @ @ @ @ @ landscaping and other non-drinking purposes , according to the Corona DWP website .",1,1-2020
19490,"The US MacDill Air Force Base was briefly put on lockdown after local media outlets reported that gunshots had been @ @ @ @ @ the base , WDBO-FM radio station , based in Orlando , reported on Friday .
@ @ @ @ @ confirmed to local press that the base was on lockdown , adding that gate traffic @ @ @ @ @ .
​MacDill Air Force Base is an operational United States Air Force military facility located @ @ @ @ @ .",0,1-2020
92447,"A giant tortoise whose legendary libido has been credited with saving his species from extinction is to return to the wild on the Galápagos Islands .
Diego was among 14 male tortoises selected to take part in a breeding programme on Santa Cruz Island .
The programme has been a success , producing more than 2,000 giant tortoises since it began in the 1960s .
Diego 's sex drive was said to be one of the main reasons .
The 100-year-old tortoise has fathered hundreds of progeny , around 800 by some estimates .
The programme has now finished , @ @ @ @ @ @ @ native island of Española in March , the Galápagos National Parks service ( PNG ) said .
• Fireworks banned on the Galapagos to protect wildlife He will join a 1,800-strong tortoise population , at least 40 % of which park rangers believe he has fathered .
`` He 's contributed a large percentage to the lineage that we are returning to Española , '' Jorge Carrion , the park 's director , told AFP news agency .
`` There 's a feeling of happiness to have the possibility of returning that tortoise @ @ @ @ @ @ @ park service believes Diego was taken from the Galápagos 80 years ago by a scientific expedition .
Around 50 years ago , there were only two males and 12 females of Diego 's species alive on Espanola .
To save his species , Chelonoidis hoodensis , Diego was brought in from California 's San Diego Zoo .
Diego is currently in quarantine before his triumphant return to Española , considered one of the oldest parts of the Galápagos .
The Galápagos Islands , 906km ( 563 miles ) west of continental Ecuador , @ @ @ @ @ @ @ worldwide for their unique array of plants and wildlife .
The indigenous species found on the Galápagos , including iguanas and tortoises , played a key role in the development of Charles Darwin 's Theory of Evolution .
Tourists across the globe travel there to see its biodiversity .",1,1-2020
19491,"One person has died from pneumonia in Wuhan , the capital of Hubei province , China , the city health @ @ @ @ @ It appears to be the first lethal case in a previously unknown pneumonia outbreak that @ @ @ @ @ is now identified as a new form of coronavirus .
Earlier on Sunday , local @ @ @ @ @ city was dealing with more than 40 cases of people with pneumonia symptoms since 31 @ @ @ @ @ them were in critical condition .
The outbreak triggered fears on social media that the @ @ @ @ @ return of the deadly Severe Acute Respiratory Syndrome ( SARS ) coronavirus .
In 2002-2003 @ @ @ @ @ the lives of more than 600 people .
Experts from the central Chinese National Health @ @ @ @ @ Wuhan might have begun in a seafood market .",0,1-2020
52493,"Tonight 's winning National Lottery numbers have been revealed - and the draw means you could be winning BIG .
Camelot , the operator of the National Lottery , conducted the Lotto and Thunderball draws this evening .
Birmingham residents looking for a life-changing sum of money can also play the EuroMillions , with draws twice a week taking place on Tuesday evenings and Friday nights .
The main UK Lotto draw will take place at 8pm .
There will also be the Thunderball draw at 8.15pm where could win £500,000 .
To play , you simply select five numbers @ @ @ @ @ @ @ Lucky Star numbers from 1-12 .
If you really can ’ t choose and you ’ re finding the pressure too much , you can always select a Lucky Dip and let the machine choose a random selection for you .
Lotto draws take place on Wednesday and Saturday evenings from approximately 8.30pm .
Ticket sales for both Tuesday and Friday EuroMillions draws close at 7.30pm on the evening of the draw .
If you ’ ve missed out , you can buy your ticket for the next draw almost straight away - @ @ @ @ @",1,1-2020
